,Unnamed: 0,speech,word_count,sentence_count,average_words,average_syl_per_word,flesch_kincaid_score,flesch_kincaid_grade_level,total_gendered_terms,female_gendered_terms,male_gendered_terms,terms_of_equality,terms_for_race,terms_for_religion,political_party,president,time_period,year
109,109,<_io.TextIOWrapper name='corpus/cleveland/cleveland_speeches_014.txt' mode='rt' encoding='cp1252'>,7164,384,18.869791666666668,1.7755443886097153,37.47110618195145,12.720642535594642,105,2,103,0,0,0,7.0,cleveland,5.0,1888
110,110,<_io.TextIOWrapper name='corpus/cleveland/cleveland_speeches_015.txt' mode='rt' encoding='cp1252'>,2081,54,39.074074074074076,1.6655454108601633,26.26967305604501,19.30232473703882,10,0,10,0,0,0,7.0,cleveland,5.0,1893
111,111,<_io.TextIOWrapper name='corpus/cleveland/cleveland_speeches_016.txt' mode='rt' encoding='cp1252'>,12267,433,29.32332563510393,1.72682807532404,30.982169307955733,16.22266828651421,43,9,34,5,17,0,7.0,cleveland,5.0,1893
112,112,<_io.TextIOWrapper name='corpus/cleveland/cleveland_speeches_017.txt' mode='rt' encoding='cp1252'>,3091,80,39.2375,1.6564218699450015,26.87564730265288,19.258403065351025,2,0,2,5,0,0,7.0,cleveland,5.0,1894
113,113,<_io.TextIOWrapper name='corpus/cleveland/cleveland_speeches_018.txt' mode='rt' encoding='cp1252'>,6196,154,40.870129870129865,1.7080374435119432,20.851850460707823,20.504192482791584,88,48,40,0,0,0,7.0,cleveland,5.0,1893
114,114,<_io.TextIOWrapper name='corpus/cleveland/cleveland_speeches_019.txt' mode='rt' encoding='cp1252'>,2338,71,33.52112676056339,1.6368691189050468,34.331928878661216,16.79829503969928,1,0,1,0,0,0,7.0,cleveland,5.0,1895
115,115,<_io.TextIOWrapper name='corpus/cleveland/cleveland_speeches_020.txt' mode='rt' encoding='cp1252'>,738,14,52.92857142857143,1.6165311653116532,16.353963414634162,24.127210607820363,0,0,0,1,0,0,7.0,cleveland,5.0,1895
116,116,<_io.TextIOWrapper name='corpus/cleveland/cleveland_speeches_021.txt' mode='rt' encoding='cp1252'>,15864,554,29.62996389891697,1.695978315683308,33.28082113579143,15.978230045640654,57,10,47,5,19,0,7.0,cleveland,5.0,1894
117,117,<_io.TextIOWrapper name='corpus/cleveland/cleveland_speeches_022.txt' mode='rt' encoding='cp1252'>,435,14,30.92857142857143,1.7747126436781608,25.30181034482763,17.41375205254516,0,0,0,0,0,0,7.0,cleveland,5.0,1894
118,118,<_io.TextIOWrapper name='corpus/cleveland/cleveland_speeches_023.txt' mode='rt' encoding='cp1252'>,1560,32,48.96875,1.6967948717948718,13.582872596153862,23.52999198717949,8,7,1,0,4,0,7.0,cleveland,5.0,1895
119,119,<_io.TextIOWrapper name='corpus/cleveland/cleveland_speeches_024.txt' mode='rt' encoding='cp1252'>,382,8,47.125,1.7486910994764395,11.063857984293207,23.42330497382199,0,0,0,0,0,0,7.0,cleveland,5.0,1895
120,120,<_io.TextIOWrapper name='corpus/cleveland/cleveland_speeches_025.txt' mode='rt' encoding='cp1252'>,14664,369,40.73170731707317,1.6970130932896887,21.92500938086306,20.320120354476874,32,12,20,6,6,2,7.0,cleveland,5.0,1895
121,121,<_io.TextIOWrapper name='corpus/cleveland/cleveland_speeches_026.txt' mode='rt' encoding='cp1252'>,612,14,44.0,1.6421568627450982,23.248529411764736,20.947450980392162,0,0,0,0,0,0,7.0,cleveland,5.0,1895
122,122,<_io.TextIOWrapper name='corpus/cleveland/cleveland_speeches_027.txt' mode='rt' encoding='cp1252'>,392,10,39.3,1.729591836734694,20.622030612244913,20.14618367346939,0,0,0,0,0,0,7.0,cleveland,5.0,1897
