,speech,word_count,sentence_count,average_words,average_syl_per_word,flesch_kincaid_score,flesch_kincaid_grade_level,total_gendered_terms,female_gendered_terms,male_gendered_terms,terms_of_equality,terms_for_race,terms_for_religion,political_party,president,time_period
313,<_io.TextIOWrapper name='corpus/gwbush/gwbush_speeches_027.txt' mode='rt' encoding='cp1252'>,5331,279,19.849462365591396,1.6268992684299382,49.05211758975199,11.348701690053918,20,9,11,2,4,1,10.0,gwbush,11.0
314,<_io.TextIOWrapper name='corpus/gwbush/gwbush_speeches_028.txt' mode='rt' encoding='cp1252'>,1664,98,17.73469387755102,1.6057692307692308,52.98620879120881,10.274607535321824,4,2,2,0,1,1,10.0,gwbush,11.0
315,<_io.TextIOWrapper name='corpus/gwbush/gwbush_speeches_029.txt' mode='rt' encoding='cp1252'>,2926,161,18.96894409937888,1.6654135338345866,46.687536776724414,11.45976789800589,8,3,5,0,0,0,10.0,gwbush,11.0
316,<_io.TextIOWrapper name='corpus/gwbush/gwbush_speeches_030.txt' mode='rt' encoding='cp1252'>,3597,233,16.2274678111588,1.4867945510147345,64.58130115582729,8.2828881483258,11,1,10,0,0,1,10.0,gwbush,11.0
317,<_io.TextIOWrapper name='corpus/gwbush/gwbush_speeches_031.txt' mode='rt' encoding='cp1252'>,5575,293,19.808873720136518,1.5438565022421524,56.11873308437535,10.352967477310642,50,15,35,0,3,2,10.0,gwbush,11.0
318,<_io.TextIOWrapper name='corpus/gwbush/gwbush_speeches_032.txt' mode='rt' encoding='cp1252'>,5713,315,18.904761904761905,1.5991598109574654,52.35774665966511,10.652942912155236,17,6,11,1,3,1,10.0,gwbush,11.0
319,<_io.TextIOWrapper name='corpus/gwbush/gwbush_speeches_033.txt' mode='rt' encoding='cp1252'>,695,37,19.486486486486488,1.7093525179856115,42.4449931946335,12.180089441959947,0,0,0,0,2,0,10.0,gwbush,11.0
320,<_io.TextIOWrapper name='corpus/gwbush/gwbush_speeches_034.txt' mode='rt' encoding='cp1252'>,3184,178,18.646067415730336,1.582600502512563,54.02123906047089,10.356652221783076,37,11,26,0,0,1,10.0,gwbush,11.0
321,<_io.TextIOWrapper name='corpus/gwbush/gwbush_speeches_035.txt' mode='rt' encoding='cp1252'>,2979,177,17.6045197740113,1.6767371601208458,47.11444868315499,11.061261201290389,3,1,2,2,2,1,10.0,gwbush,11.0
322,<_io.TextIOWrapper name='corpus/gwbush/gwbush_speeches_036.txt' mode='rt' encoding='cp1252'>,1057,52,20.98076923076923,1.7000946073793757,41.71151544647407,12.653616367076634,1,0,1,0,0,0,10.0,gwbush,11.0
323,<_io.TextIOWrapper name='corpus/gwbush/gwbush_speeches_037.txt' mode='rt' encoding='cp1252'>,7162,441,16.875283446712018,1.4368891371125383,68.14576630186659,7.946652362145642,40,2,38,0,3,1,9.0,gwbush,11.0
324,<_io.TextIOWrapper name='corpus/gwbush/gwbush_speeches_038.txt' mode='rt' encoding='cp1252'>,1879,122,16.18032786885246,1.5455029270888772,59.66241958139577,8.957262408501212,26,6,20,0,1,2,9.0,gwbush,11.0
325,<_io.TextIOWrapper name='corpus/harding/harding_speeches_000.txt' mode='rt' encoding='cp1252'>,3331,148,23.27027027027027,1.7048934253977786,38.98169188702363,13.603147825099192,16,7,9,3,0,3,8.0,harding,7.0
